uri	year	title	author	word_count	word_types	words_above_freq	word_types_above_freq	ncommon_tok	nold_tok	nnew_tok	nlapsed_tok	ncommon_typ	nold_typ	nnew_typ	nlapsed_typ
VAC5667	1851	Woman's Trials, or, Tales and Sketches From the Life Around Us	Arthur, T. S. (1809-1885)	48440	4304	47853	4100	98.430610411051	1.072033101373	0.47436942302468	0.022987064551857	97.09756097561	0.1219512195122	2.609756097561	0.17073170731707
VAC5668	1851	Words for the Wise	Arthur, T. S. (1809-1885)	49119	4545	48616	4374	98.521063024519	0.63970709231529	0.66644726016126	0.17278262300477	96.616369455876	0.091449474165524	2.9949702789209	0.29721079103795
VAC5721	1851	The Circassian Slave, or, The Sultan's Favorite	Ballou, Maturin Murray, (1820-1895)	40385	5066	39540	4801	99.443601416287	0.0025290844714213	0.53110773899848	0.022761760242792	97.229743803374	0.020828993959592	2.603624244949	0.14580295771714
VAC5723	1851	The Gipsey Daughter, or, The Fortunes of a Spanish Cavalier	Ballou, Maturin Murray, (1820-1895)	55857	5696	54565	5415	98.77210666178	0.005498029872629	1.2040685421057	0.018326766242097	96.897506925208	0.036934441366574	2.9362880886427	0.12927054478301
VAC5732	1851	The Howards	Barlow, D.H.	14607	3104	14359	2967	98.927501915175	0.069642732780834	0.94714116581935	0.055714186224667	96.629592180654	0.067408156386923	3.1007751937984	0.20222446916077
VAC5751	1851	Io	Barton, K.	70521	7276	68953	6796	99.437297869563	0.029005264455499	0.50179107508013	0.031905790901049	96.836374337846	0.10300176574456	2.869334902884	0.1912889935256
VAC5796	1851	The League of the Miami	Bennett, Emerson, (1822-1905)	64477	5959	63287	5624	98.86706590611	0.093226096986743	0.79163177271794	0.24807622418506	96.799431009957	0.10668563300142	2.8093883357041	0.28449502133713
VAC5800	1851	The Pioneer's Daughter	Bennett, Emerson, (1822-1905)	43996	5209	43283	4876	99.242196705404	0.10396691541714	0.58221472633597	0.071621652842918	97.046759639048	0.14356029532404	2.5020508613618	0.30762920426579
VAC5802	1851	The Unknown Countess	Bennett, Emerson, (1822-1905)	54688	6391	53974	5949	99.427502130655	0.066698780894505	0.46874421017527	0.037054878274725	96.923852748361	0.084047739115818	2.7399562951757	0.25214321734745
VAC5809	1851	Poems and Tales	Bennett, Mary E.	35237	4903	34548	4522	99.392150052101	0.095519277526919	0.44865115202038	0.063679518351279	97.19150818222	0.17691287041132	2.3662096417514	0.26536930561698
VAC5841	1851	Die Geheimnisse von St. Louis	Brnstein, Heinrich, (1805-1892)	169478	57075	88054	3408	88.043700456538	2.2100074954005	2.2315851636496	7.5147068844118	77.024647887324	1.5845070422535	11.707746478873	9.6830985915493
VAC5875	1851	The Old Distiller	Bradbury, Osgood.	35465	3989	34659	3788	98.857439626071	0.057705069390346	0.57128018696442	0.51357511757408	97.175290390707	0.052798310454065	2.5079197465681	0.26399155227033
VAC5934	1851	Harry Burnham, the Young Continental...	Buckingham, Henry A.	261762	12843	256615	11152	98.96459676948	0.080275899694094	0.6207743117121	0.33435301911424	95.157819225251	0.10760401721664	4.1875896700143	0.54698708751793
VAC5952	1851	Polly Peablossom's Wedding	Burke, T. A. (Thomas A.), (1828-1880)	52351	7258	49720	6074	97.648833467418	0.34392598551891	1.6653258246179	0.3419147224457	94.320052683569	0.1481725386895	4.8567665459335	0.6750082318077
