uri	year	title	author	word_count	word_types	ncommon_tok	nold_tok	nnew_tok	nlapsed_tok	ncommon_typ	nold_typ	nnew_typ	nlapsed_typ
VAC7159	1863	Two Pictures, or, What We Think of Ourselves, and What the World Thinks of Us	McIntosh, Maria J. (1803-1878)	155014	11139	98.619479530881	0.87475969912395	0.3728695472667	0.13289122272827	95.807523116976	0.7989945237454	2.4059610377951	0.98752132148308
VAC7215	1863	"Drifting About," or, What "Jeems Pipes, of Pipesville" Saw and Did	Massett, Stephen C.	121000	12405	98.643801652893	0.33801652892562	0.75785123966942	0.2603305785124	95.163240628779	0.47561467150343	3.3857315598549	0.97541313986296
VAC7267	1863	Light	Modet, Helen.	82439	8552	98.700857603804	0.6950593772365	0.45730782760587	0.14677519135361	96.316651075772	0.77174929840973	2.0463049579046	0.86529466791394
VAC7284	1863	Shoulder-straps	Morford, Henry, (1823-1881)	178282	12490	99.215849048137	0.10208546011375	0.56371366711165	0.11835182463737	95.580464371497	0.34427542033627	3.5148118494796	0.56044835868695
VAC7285	1863	Sprees and Splashes, or, Droll Recollections of Town and Country	Morford, Henry, (1823-1881)	66238	7481	98.265346175911	0.21890757571183	1.2590959871977	0.25665026117938	94.639754043577	0.45448469455955	3.9834246758455	0.92233658601791
VAC7399	1863	Ruth's Sacrifice, or, Life on the Rappahannock	Pearson, Emily Clemens.	68239	8981	98.213631501048	0.32972347191489	0.83969577514325	0.61694925189408	95.535018372119	0.6458078165015	2.5275581783766	1.291615633003
VAC7410	1863	The Conspirators of New Orleans, or, The Night of the Battle	Peck, William H.	45603	5082	98.868495493718	0.052628116571278	0.92537771637831	0.15349867333289	97.048406139315	0.27548209366391	1.9086973632428	0.76741440377804
VAC7537	1863	The Rosicrucian's Story	Randolph, Paschal Beverly, (1825-1874)	43721	7709	98.506438553555	0.30648887262414	0.80967955902198	0.37739301479838	95.018809184071	0.71345180957323	2.8667790893761	1.4009599169802
VAC7538	1863	The Wonderful Story of Ravalette ; also, Tom Clark and His Wife : Their Double Dreams and the Curious Things That Befell Them Therein, or, The Rosicrucian's Story	Randolph, Paschal Beverly, (1825-1874)	110163	13135	98.632934832929	0.2214899739477	0.85872752194475	0.28684767117816	93.894175866007	0.96688237533308	3.6162923486867	1.5226494099734
VAC7699	1863	Garret Van Horn, or, The Beggar on Horseback	Sauzade, John S., (1828-)	104948	15100	97.667416244235	0.68128978160613	1.165339025041	0.48595494911766	93.834437086093	1.0993377483444	3.8278145695364	1.2384105960265
VAC7815	1863	Gilead, or, The Vision of All Souls' Hospital	Smith, J. Hyatt	102739	9677	99.086033541304	0.23846835184302	0.52560371426625	0.14989439258704	95.318797147876	1.2503875167924	2.2010953807998	1.2297199545314
VAC7887	1863	Ora, the Lost Wife	Spencer, Bella Zilfa, (1840-1867)	103822	9356	99.030070697925	0.35637918745545	0.42476546396717	0.18878465065208	95.051303976058	1.3894826849081	2.2231722958529	1.3360410431808
VAC7890	1863	The Amber God and Other Stories	Spofford, Harriet Elizabeth Prescott, (1835-1921)	127614	12487	97.907753067845	0.6801761562211	1.0453398529942	0.36673092293949	95.034836229679	0.69672459357732	3.3554897092977	0.91294946744614
VAC7935	1863	The Step-sister	Anonymous	79008	14197	97.506581611989	0.89611178614824	0.82143580396922	0.77587079789388	91.45594139607	2.9301965203916	2.6977530464183	2.9161090371205
VAC7976	1863	Madge, or, Night and Morning	H. B. G. (1827-1893)	108807	9552	97.613205032764	0.74903269091143	1.0725412887039	0.56522098762028	95.969430485762	0.55485762144054	2.3659966499162	1.1097152428811
VAC7977	1863	Roger Deane's Work	H. B. G. (1827-1893)	6894	1849	98.665506237308	0.55120394545982	0.50768784450247	0.27560197272991	97.404002163332	0.37858301784749	1.460248783126	0.75716603569497
